,count,lat,long,pop,pop/ex
101,22.0,15.9281,120.3489,188571.0,8571.40909090909
102,10.0,8.505,125.9771,74542.0,7454.2
103,5.0,12.0,120.2,51803.0,10360.6
104,45.0,15.4802,120.5979,342493.0,7610.955555555555
105,38.0,15.4833,120.9667,302231.0,7953.4473684210525
106,15.0,18.1725,120.5958,36736.0,2449.0666666666666
107,9.0,6.6333,124.6,90682.0,10075.777777777777
108,11.0,7.9,125.0833,192993.0,17544.81818181818
109,25.0,7.2167,124.25,299438.0,11977.52
110,5.0,11.2,123.7333,79084.0,15816.8
111,5.0,12.4,122.0,45367.0,9073.4
112,6.0,11.0167,124.0,78120.0,13020.0
113,5.0,9.7612,123.5349,67497.0,13499.4
114,4.0,10.1167,124.2833,66969.0,16742.25
115,3.0,10.056,124.4729,73712.0,24570.666666666668
116,3.0,9.65,124.3667,33892.0,11297.333333333334
117,3.0,9.0667,123.0333,77696.0,25898.666666666668
118,2.0,9.6833,123.15,42332.0,21166.0
119,27.0,9.3103,123.3081,131377.0,4865.814814814815
120,28.0,8.9534,125.5288,337063.0,12037.964285714286
121,14.0,9.7833,125.4833,154137.0,11009.785714285714
122,1.0,10.0654,125.5968,36880.0,36880.0
123,4.0,11.8667,123.9167,55826.0,13956.5
124,5.0,10.2,122.8667,67270.0,13454.0
125,5.0,9.1228,125.5346,73639.0,14727.8
126,5.0,13.921,122.1002,73877.0,14775.4
127,6.0,13.9575,122.2875,73139.0,12189.833333333334
128,23.0,16.0333,120.3333,171271.0,7446.565217391304
129,30.0,13.9333,121.6167,266248.0,8874.933333333332
130,4.0,15.8468,120.5218,43402.0,10850.5
131,6.0,13.2167,123.5167,111399.0,18566.5
132,5.0,13.5833,124.2333,73650.0,14730.0
133,56.0,14.6,121.0333,122180.0,2181.785714285714
134,4.0,16.9333,120.45,39277.0,9819.25
135,5.0,17.4175,120.4753,44006.0,8801.2
136,1.0,16.9833,120.8667,31065.0,31065.0
137,14.0,15.6667,120.5833,92606.0,6614.714285714285
138,1.0,12.05,125.4833,42866.0,42866.0
139,3.0,15.9167,120.1833,67348.0,22449.333333333332
140,1.0,12.547,125.116,34286.0,34286.0
141,4.0,11.5833,124.45,54692.0,13673.0
142,2.0,8.8667,124.8,28705.0,14352.5
143,4.0,8.5333,124.75,73150.0,18287.5
144,7.0,8.8167,125.1,124648.0,17806.85714285714
145,5.0,9.2833,118.4167,73212.0,14642.4
146,38.0,11.5833,122.75,167003.0,4394.815789473684
